Nome,Email,Senha,Perfil,Turma,Materia
Prof. Fernando,professor@escola.com,123456,professor,-,História
Ana Silva,aluno01a@escola.com,123456,aluno,9º Ano A,-
Bruno Souza,aluno02a@escola.com,123456,aluno,9º Ano A,-
Carla Oliveira,aluno03a@escola.com,123456,aluno,9º Ano A,-
Daniel Santos,aluno04a@escola.com,123456,aluno,9º Ano A,-
Eduarda Pereira,aluno05a@escola.com,123456,aluno,9º Ano A,-
Felipe Lima,aluno06a@escola.com,123456,aluno,9º Ano A,-
Gabriela Costa,aluno07a@escola.com,123456,aluno,9º Ano A,-
Henrique Ferreira,aluno08a@escola.com,123456,aluno,9º Ano A,-
Isabela Almeida,aluno09a@escola.com,123456,aluno,9º Ano A,-
João Rodrigues,aluno10a@escola.com,123456,aluno,9º Ano A,-
Larissa Gomes,aluno11a@escola.com,123456,aluno,9º Ano A,-
Marcos Martins,aluno12a@escola.com,123456,aluno,9º Ano A,-
Natália Araújo,aluno13a@escola.com,123456,aluno,9º Ano A,-
Otávio Barbosa,aluno14a@escola.com,123456,aluno,9º Ano A,-
Patrícia Ribeiro,aluno15a@escola.com,123456,aluno,9º Ano A,-
Rafael Carvalho,aluno16a@escola.com,123456,aluno,9º Ano A,-
Sofia Cardoso,aluno17a@escola.com,123456,aluno,9º Ano A,-
Thiago Teixeira,aluno18a@escola.com,123456,aluno,9º Ano A,-
Vitória Moraes,aluno19a@escola.com,123456,aluno,9º Ano A,-
William Nunes,aluno20a@escola.com,123456,aluno,9º Ano A,-
Ana Silva,aluno01b@escola.com,123456,aluno,9º Ano B,-
Bruno Souza,aluno02b@escola.com,123456,aluno,9º Ano B,-
Carla Oliveira,aluno03b@escola.com,123456,aluno,9º Ano B,-
Daniel Santos,aluno04b@escola.com,123456,aluno,9º Ano B,-
Eduarda Pereira,aluno05b@escola.com,123456,aluno,9º Ano B,-
Felipe Lima,aluno06b@escola.com,123456,aluno,9º Ano B,-
Gabriela Costa,aluno07b@escola.com,123456,aluno,9º Ano B,-
Henrique Ferreira,aluno08b@escola.com,123456,aluno,9º Ano B,-
Isabela Almeida,aluno09b@escola.com,123456,aluno,9º Ano B,-
João Rodrigues,aluno10b@escola.com,123456,aluno,9º Ano B,-
Larissa Gomes,aluno11b@escola.com,123456,aluno,9º Ano B,-
Marcos Martins,aluno12b@escola.com,123456,aluno,9º Ano B,-
Natália Araújo,aluno13b@escola.com,123456,aluno,9º Ano B,-
Otávio Barbosa,aluno14b@escola.com,123456,aluno,9º Ano B,-
Patrícia Ribeiro,aluno15b@escola.com,123456,aluno,9º Ano B,-
Rafael Carvalho,aluno16b@escola.com,123456,aluno,9º Ano B,-
Sofia Cardoso,aluno17b@escola.com,123456,aluno,9º Ano B,-
Thiago Teixeira,aluno18b@escola.com,123456,aluno,9º Ano B,-
Vitória Moraes,aluno19b@escola.com,123456,aluno,9º Ano B,-
William Nunes,aluno20b@escola.com,123456,aluno,9º Ano B,-
